Relation Stats,,,,,
Player,PTS,TRB,AST,STL,BLK
Russell Westbrook28OKC,31.6,10.7,10.4,1.6,0.4
James Harden29HOU,36.1,6.6,7.5,2,0.7
Michael Jordan25CHI,32.5,8,8,2.9,0.8
Michael Jordan23CHI,37.1,5.2,4.6,2.9,1.5
Nikola Joki?26DEN,27.1,13.8,7.9,1.5,0.9
Michael Jordan24CHI,35,5.5,5.9,3.2,1.6
James Harden30HOU,34.3,6.6,7.5,1.8,0.9
Giannis Antetokounmpo25MIL,29.5,13.6,5.6,1,1
Shaquille O'Neal27LAL,29.7,13.6,3.8,0.5,3
James Harden27HOU,29.1,8.1,11.2,1.5,0.5
Michael Jordan26CHI,33.6,6.9,6.3,2.8,0.7
David Robinson28SAS,29.8,10.7,4.8,1.7,3.3
Moses Malone26HOU,31.1,14.7,1.8,0.9,1.5
Giannis Antetokounmpo27MIL,29.9,11.6,5.8,1.1,1.4
Joel Embiid27PHI,30.6,11.7,4.2,1.1,1.5
Giannis Antetokounmpo24MIL,27.7,12.5,5.9,1.3,1.5
Shaquille O'Neal21ORL,29.3,13.2,2.4,0.9,2.9
Larry Bird28BOS,28.7,10.5,6.6,1.6,1.2
Hakeem Olajuwon30HOU,26.1,13,3.5,1.8,4.2
Shaquille O'Neal28LAL,28.7,12.7,3.7,0.6,2.8
Michael Jordan29CHI,32.6,6.7,5.5,2.8,0.8
LeBron James25CLE,29.7,7.3,8.6,1.6,1
Luka Don?i?20DAL,28.8,9.4,8.8,1,0.2
Hakeem Olajuwon31HOU,27.3,11.9,3.6,1.6,3.7
Luka Don?i?22DAL,28.4,9.1,8.7,1.2,0.6
LeBron James23CLE,30,7.9,7.2,1.8,1.1
Hakeem Olajuwon27HOU,24.3,14,2.9,2.1,4.6
Russell Westbrook29OKC,25.4,10.1,10.3,1.8,0.3
Larry Bird31BOS,29.9,9.3,6.1,1.6,0.8
Larry Bird30BOS,28.1,9.2,7.6,1.8,0.9
LeBron James33CLE,27.5,8.6,9.1,1.4,0.9
Nikola Joki?25DEN,26.4,10.8,8.3,1.3,0.7
Joel Embiid24PHI,27.5,13.6,3.7,0.7,1.9
Giannis Antetokounmpo26MIL,28.1,11,5.9,1.2,1.2
LeBron James21CLE,31.4,7,6.6,1.6,0.8
Kobe Bryant27LAL,35.4,5.3,4.5,1.8,0.4
Moses Malone25HOU,27.8,14.8,1.8,1,1.9
Hakeem Olajuwon32HOU,27.8,10.8,3.5,1.8,3.4
Russell Westbrook32WAS,22.2,11.5,11.7,1.4,0.4
Russell Westbrook30OKC,22.9,11.1,10.7,1.9,0.5
LeBron James37LAL,30.3,8.2,6.2,1.3,1.1
James Harden28HOU,30.4,5.4,8.8,1.8,0.7
Karl Malone26UTA,31,11.1,2.8,1.5,0.6
Kevin Durant25OKC,32,7.4,5.5,1.3,0.7
Kevin Garnett27MIN,24.2,13.9,5,1.5,2.2
DeMarcus Cousins27NOP,25.2,12.9,5.4,1.6,1.6
Patrick Ewing27NYK,28.6,10.9,2.2,1,4
Michael Jordan27CHI,31.5,6,5.5,2.7,1
Shaquille O'Neal22ORL,29.3,11.4,2.7,0.9,2.4
Tracy McGrady23ORL,32.1,6.5,5.5,1.7,0.8
David Robinson25SAS,25.6,13,2.5,1.5,3.9
Russell Westbrook26OKC,28.1,7.3,8.6,2.1,0.2
David Robinson29SAS,27.6,10.8,2.9,1.7,3.2
Dwyane Wade27MIA,30.2,5,7.5,2.2,1.3
Karl Malone27UTA,29,11.8,3.3,1.1,1
LeBron James34LAL,27.4,8.5,8.3,1.3,0.6
James Harden31BRK,24.6,8.5,10.9,1.3,0.8
Hakeem Olajuwon26HOU,24.8,13.5,1.8,2.6,3.4
LeBron James24CLE,28.4,7.6,7.2,1.7,1.1
Charles Barkley24PHI,28.3,11.9,3.2,1.3,1.3
Hakeem Olajuwon33HOU,26.9,10.9,3.6,1.6,2.9
DeMarcus Cousins26SAC,27.8,10.6,4.8,1.4,1.3
Luka Don?i?21DAL,27.7,8,8.6,1,0.5
Kobe Bryant24LAL,30,6.9,5.9,2.2,0.8
Anthony Davis25NOP,25.9,12,3.9,1.6,2.4
Charles Barkley23PHI,23,14.6,4.9,1.8,1.5
Michael Jordan28CHI,30.1,6.4,6.1,2.3,0.9
Allen Iverson30PHI,33,3.2,7.4,1.9,0.1
Anthony Davis24NOP,28.1,11.1,2.3,1.5,2.6
Shaquille O'Neal24LAL,26.2,12.5,3.1,0.9,2.9
LeBron James32CLE,26.4,8.6,8.7,1.2,0.6
Charles Barkley29PHO,25.6,12.2,5.1,1.6,1
Kevin Durant33BRK,29.9,7.4,6.4,0.9,0.9
Chris Webber27SAC,27.1,11.1,4.2,1.3,1.7
Kevin Garnett26MIN,23,13.4,6,1.4,1.6
Anthony Davis23NOP,28,11.8,2.1,1.3,2.2
DeMarcus Cousins26TOT,27,11,4.6,1.4,1.3
James Harden31TOT,24.6,7.9,10.8,1.2,0.8
Magic Johnson29LAL,22.5,7.9,12.8,1.8,0.3
Shaquille O'Neal25LAL,28.3,11.4,2.4,0.7,2.4
Karl Malone25UTA,29.1,10.7,2.7,1.8,0.9
Tim Duncan25SAS,25.5,12.7,3.7,0.7,2.5
Allen Iverson29PHI,30.7,4,7.9,2.4,0.1
LeBron James35LAL,25.3,7.8,10.2,1.2,0.5
Larry Bird29BOS,25.8,9.8,6.8,2,0.6
Patrick Ewing28NYK,26.6,11.2,3,1,3.2
James Harden26HOU,29,6.1,7.5,1.7,0.6
David Robinson26SAS,23.2,12.2,2.7,2.3,4.5
David Robinson30SAS,25,12.2,3,1.4,3.3
Charles Barkley25PHI,25.8,12.5,4.1,1.6,0.8
LeBron James20CLE,27.2,7.4,7.2,2.2,0.7
Shaquille O'Neal30LAL,27.5,11.1,3.1,0.6,2.4
LeBron James28MIA,26.8,8,7.3,1.7,0.9
DeMarcus Cousins25SAC,26.9,11.5,3.3,1.6,1.4
Kobe Bryant28LAL,31.6,5.7,5.4,1.4,0.5
Stephen Curry32GSW,32,5.5,5.8,1.2,0.1
Magic Johnson27LAL,23.9,6.3,12.2,1.7,0.5
Giannis Antetokounmpo23MIL,26.9,10,4.8,1.5,1.4
Stephen Curry27GSW,30.1,5.4,6.7,2.1,0.2
Kareem Abdul-Jabbar32LAL,24.8,10.8,4.5,1,3.4
Karl Malone29UTA,27,11.2,3.8,1.5,1
Trae Young21ATL,29.6,4.3,9.3,1.1,0.1
Allen Iverson26PHI,31.4,4.5,5.5,2.8,0.2
Moses Malone24HOU,25.8,14.5,1.8,1,1.3
Kevin Garnett28MIN,22.2,13.5,5.7,1.5,1.4
Clyde Drexler26POR,27.2,7.9,5.8,2.7,0.7
Kevin Love25MIN,26.1,12.5,4.4,0.8,0.5
Joel Embiid26PHI,28.5,10.6,2.8,1,1.4
Moses Malone27PHI,24.5,15.3,1.3,1.1,2
Russell Westbrook31HOU,27.2,7.9,7,1.6,0.4
Karl Malone24UTA,27.7,12,2.4,1.4,0.6
Karl Malone28UTA,28,11.2,3,1.3,0.6
Charles Barkley27PHI,27.6,10.1,4.2,1.6,0.5
Russell Westbrook27OKC,23.5,7.8,10.4,2,0.3
Michael Jordan32CHI,30.4,6.6,4.3,2.2,0.5
Bernard King28NYK,32.9,5.8,3.7,1.3,0.3
LeBron James27MIA,27.1,7.9,6.2,1.9,0.8
David Robinson24SAS,24.3,12,2,1.7,3.9
Karl-Anthony Towns24MIN,26.5,10.8,4.4,0.9,1.2
Michael Jordan21CHI,28.2,6.5,5.9,2.4,0.8
Karl Malone33UTA,27.4,9.9,4.5,1.4,0.6
Tim Duncan26SAS,23.3,12.9,3.9,0.7,2.9
Karl Malone30UTA,25.2,11.5,4,1.5,1.5
Damian Lillard29POR,30,4.3,8,1.1,0.3
DeMarcus Cousins24SAC,24.1,12.7,3.6,1.5,1.7
Kevin Durant27OKC,28.2,8.2,5,1,1.2
Larry Bird27BOS,24.2,10.1,6.6,1.8,0.9
Shaquille O'Neal29LAL,27.2,10.7,3,0.6,2
Allen Iverson31PHI,31.2,2.7,7.3,2.2,0.1
Kareem Abdul-Jabbar33LAL,26.2,10.3,3.4,0.7,2.9
David Robinson27SAS,23.4,11.7,3.7,1.5,3.2
Larry Bird33BOS,24.3,9.5,7.5,1.4,0.8
LeBron James26MIA,26.7,7.5,7,1.6,0.6
Hakeem Olajuwon28HOU,21.2,13.8,2.3,2.2,3.9
Shaquille O'Neal20ORL,23.4,13.9,1.9,0.7,3.5
Karl Malone31UTA,26.7,10.6,3.5,1.6,1
Alex English29DEN,28.4,7.3,4.8,1.4,1.5
George Gervin27SAS,33.1,5.2,2.6,1.4,1
Kevin Durant24OKC,28.1,7.9,4.6,1.4,1.3
DeMarcus Cousins26NOP,24.4,12.4,3.9,1.5,1.1
Karl Malone34UTA,27,10.3,3.9,1.2,0.9
Dominique Wilkins26ATL,30.3,7.9,2.6,1.8,0.6
Michael Adams28DEN,26.5,3.9,10.5,2.2,0.1
Shaquille O'Neal23ORL,26.6,11,2.9,0.6,2.1
Larry Bird26BOS,23.6,11,5.8,1.9,0.9
Charles Barkley26PHI,25.2,11.5,3.9,1.9,0.6
Hakeem Olajuwon24HOU,23.4,11.4,2.9,1.9,3.4
Chris Webber26SAC,24.5,10.5,4.6,1.6,1.7
Dwyane Wade25MIA,27.4,4.7,7.5,2.1,1.2
Paul George28OKC,28,8.2,4.1,2.2,0.4
Magic Johnson21LAL,21.6,8.6,8.6,3.4,0.7
Kevin Durant21OKC,30.1,7.6,2.8,1.4,1
Julius Erving29PHI,26.9,7.4,4.6,2.2,1.8
Kevin Garnett23MIN,22.9,11.8,5,1.5,1.6
Trae Young23ATL,28.4,3.7,9.7,0.9,0.1
Adrian Dantley27UTA,30.7,6.4,4.8,0.9,0
James Harden25HOU,27.4,5.7,7,1.9,0.7
James Harden32BRK,22.5,8,10.2,1.3,0.7
Adrian Dantley25UTA,30.7,6.4,4,1.4,0.2
Kevin Love23MIN,26,13.3,2,0.9,0.5
Karl-Anthony Towns23MIN,24.4,12.4,3.4,0.9,1.6
Chris Webber28SAC,24.5,10.1,4.8,1.7,1.4
Clyde Drexler25POR,27,6.6,5.8,2.5,0.6
Magic Johnson30LAL,22.3,6.6,11.5,1.7,0.4
Kevin Willis32ATL,21,18,1.5,0.5,1.5
Bradley Beal26WAS,30.5,4.2,6.1,1.2,0.4
Anthony Davis26LAL,26.1,9.3,3.2,1.5,2.3
Hakeem Olajuwon23HOU,23.5,11.5,2,2,3.4
Larry Bird25BOS,22.9,10.9,5.8,1.9,0.9
LeBron James22CLE,27.3,6.7,6,1.6,0.7
Allen Iverson25PHI,31.1,3.8,4.6,2.5,0.3
Dwyane Wade24MIA,27.2,5.7,6.7,1.9,0.8
Kobe Bryant29LAL,28.3,6.3,5.4,1.8,0.5
Kevin Garnett30MIN,22.4,12.8,4.1,1.2,1.7
LeBron James36LAL,25,7.7,7.8,1.1,0.6
Chris Paul23NOH,22.8,5.5,11,2.8,0.1
Dwight Howard25ORL,22.9,14.1,1.4,1.4,2.4
LeBron James29MIA,27.1,6.9,6.3,1.6,0.3
