Relation Stats,,,,,
Player,PTS,TRB,AST,STL,BLK
Isiah Thomas23DET,21.2,4.5,13.9,2.3,0.3
Karl-Anthony Towns21MIN,25.1,12.3,2.7,0.7,1.3
Karl Malone32UTA,25.7,9.8,4.2,1.7,0.7
Adrian Dantley26UTA,30.3,6.3,4,1.2,0.2
Kevin Durant23OKC,28,8,3.5,1.3,1.2
Bradley Beal27WAS,31.3,4.7,4.4,1.2,0.4
Hakeem Olajuwon29HOU,21.6,12.1,2.2,1.8,4.3
Michael Jordan33CHI,29.6,5.9,4.3,1.7,0.5
James Harden31HOU,24.8,5.1,10.4,0.9,0.8
Tim Duncan23SAS,23.2,12.4,3.2,0.9,2.2
Tracy McGrady21ORL,26.8,7.5,4.6,1.5,1.5
James Harden32TOT,22,7.7,10.3,1.3,0.6
Dominique Wilkins28ATL,30.7,6.4,2.9,1.3,0.6
Hakeem Olajuwon25HOU,22.8,12.1,2.1,2.1,2.7
Patrick Ewing31NYK,24.5,11.2,2.3,1.1,2.7
Chris Webber29SAC,23,10.5,5.4,1.6,1.3
Karl-Anthony Towns25MIN,24.8,10.6,4.5,0.8,1.1
Gary Payton31SEA,24.2,6.5,8.9,1.9,0.2
Kobe Bryant22LAL,28.5,5.9,5,1.7,0.6
Moses Malone29PHI,24.6,13.1,1.6,0.8,1.6
Shaquille O'Neal26LAL,26.3,10.7,2.3,0.7,1.7
Damian Lillard30POR,28.8,4.2,7.5,0.9,0.3
Nikola Vu?evi?30ORL,24.5,11.8,3.8,1,0.6
Michael Jordan31CHI,26.9,6.9,5.3,1.8,0.8
Dirk Nowitzki26DAL,26.1,9.7,3.1,1.2,1.5
Kevin Durant32BRK,26.9,7.1,5.6,0.7,1.3
Kevin Garnett24MIN,22,11.4,5,1.4,1.8
Kobe Bryant26LAL,27.6,5.9,6,1.3,0.8
Tracy McGrady24ORL,28,6,5.5,1.4,0.6
LeBron James31CLE,25.3,7.4,6.8,1.4,0.6
Kawhi Leonard28LAC,27.1,7.1,4.9,1.8,0.6
Julius Randle26NYK,24.1,10.2,6,0.9,0.3
Tim Duncan27SAS,22.3,12.4,3.1,0.9,2.7
Ja Morant22MEM,27.4,5.7,6.7,1.2,0.4
Tracy McGrady22ORL,25.6,7.9,5.3,1.6,1
Kevin Garnett29MIN,21.8,12.7,4.1,1.4,1.4
Kevin Garnett25MIN,21.2,12.1,5.2,1.2,1.6
Kevin McHale29BOS,26.1,9.9,2.6,0.5,2.2
George Gervin29SAS,32.3,5,2.4,1,0.6
Dominique Wilkins33ATL,29.9,6.8,3.2,1,0.4
Patrick Ewing29NYK,24,11.2,1.9,1.1,3
Gilbert Arenas24WAS,29.3,3.5,6.1,2,0.3
Anthony Davis21NOP,24.4,10.2,2.2,1.5,2.9
Mark Aguirre24DAL,29.5,5.9,4.5,1,0.3
Gilbert Arenas25WAS,28.4,4.6,6,1.9,0.2
Adrian Dantley28UTA,30.6,5.7,3.9,0.8,0.1
Kevin Durant29GSW,26.4,6.8,5.4,0.7,1.8
Patrick Ewing30NYK,24.2,12.1,1.9,0.9,2
LeBron James30CLE,25.3,6,7.4,1.6,0.7
Clyde Drexler29POR,25,6.6,6.7,1.8,0.9
Kevin Durant28GSW,25.1,8.3,4.8,1.1,1.6
Magic Johnson24LAL,17.6,7.3,13.1,2.2,0.7
Kyrie Irving27BRK,27.4,5.2,6.4,1.4,0.5
Dejounte Murray25SAS,21.1,8.3,9.2,2,0.3
Jayson Tatum23BOS,26.9,8,4.4,1,0.6
Julius Erving30PHI,24.6,8,4.4,2.1,1.8
Charles Barkley32PHO,23.2,11.6,3.7,1.6,0.8
Elton Brand26LAC,24.7,10,2.6,1,2.5
Dwyane Wade28MIA,26.6,4.8,6.5,1.8,1.1
Magic Johnson22LAL,18.6,9.6,9.5,2.7,0.4
Jerry Stackhouse26DET,29.8,3.9,5.1,1.2,0.7
Domantas Sabonis24IND,20.3,12,6.7,1.2,0.5
Charles Barkley28PHI,23.1,11.1,4.1,1.8,0.6
Dominique Wilkins32ATL,28.1,7,3.8,1.2,0.6
Dominique Wilkins27ATL,29,6.3,3.3,1.5,0.6
Karl Malone36UTA,25.5,9.5,3.7,1,0.9
Dwight Howard26ORL,20.6,14.5,1.9,1.5,2.1
Giannis Antetokounmpo22MIL,22.9,8.8,5.4,1.6,1.9
John Wall26WAS,23.1,4.2,10.7,2,0.6
Chris Webber25SAC,20,13,4.1,1.4,2.1
Tim Duncan24SAS,22.2,12.2,3,0.9,2.3
Kobe Bryant34LAL,27.3,5.6,6,1.4,0.3
Carmelo Anthony29NYK,27.4,8.1,3.1,1.2,0.7
Charles Barkley31PHO,23,11.1,4.1,1.6,0.7
Charles Barkley22PHI,20,12.8,3.9,2.2,1.6
Patrick Ewing32NYK,23.9,11,2.7,0.9,2
Nikola Vu?evi?30TOT,23.4,11.7,3.8,0.9,0.7
Dominique Wilkins31ATL,25.9,9,3.3,1.5,0.8
Dirk Nowitzki24DAL,25.1,9.9,3,1.4,1
Larry Bird24BOS,21.2,10.9,5.5,2,0.8
Magic Johnson31LAL,19.4,7,12.5,1.3,0.2
Nikola Joki?23DEN,20.1,10.8,7.3,1.4,0.7
Carmelo Anthony22DEN,28.9,6,3.8,1.2,0.4
Jeff Ruland25WSB,22.2,12.3,3.9,0.9,1
Allen Iverson27PHI,27.6,4.2,5.5,2.7,0.2
Vince Carter28NJN,27.5,5.9,4.7,1.5,0.6
Michael Jordan34CHI,28.7,5.8,3.5,1.7,0.5
Paul Pierce25BOS,25.9,7.3,4.4,1.8,0.8
Karl-Anthony Towns26MIN,24.6,9.8,3.6,1,1.1
Antoine Walker24BOS,23.4,8.9,5.5,1.7,0.6
Dirk Nowitzki27DAL,26.6,9,2.8,0.7,1
Kevin Durant30GSW,26,6.4,5.9,0.7,1.1
Andre Drummond26DET,17.8,15.8,2.8,2,1.7
Chris Mullin25GSW,26.5,5.9,5.1,2.1,0.5
DeMarcus Cousins23SAC,22.7,11.7,2.9,1.5,1.3
Alex English28DEN,25.4,6.8,5.3,1.1,1.5
Alex English32DEN,29.8,5,4,0.9,0.4
Grant Hill24DET,21.4,9,7.3,1.8,0.6
Tracy McGrady25HOU,25.7,6.2,5.7,1.7,0.7
James Harden32PHI,21,7.1,10.5,1.2,0.2
Paul Pierce28BOS,26.8,6.7,4.7,1.4,0.4
Adrian Dantley24UTA,28,7.6,2.8,1.4,0.2
Moses Malone28PHI,22.7,13.4,1.4,1,1.5
Fat Lever28DEN,19.8,9.3,7.9,2.7,0.3
Scottie Pippen28CHI,22,8.7,5.6,2.9,0.8
Kyrie Irving28BRK,26.9,4.8,6,1.4,0.7
Dominique Wilkins34LAC,29.1,7,2.2,1.2,0.3
Anthony Davis22NOP,24.3,10.3,1.9,1.3,2
Joel Embiid25PHI,23,11.6,3,0.9,1.3
Jayson Tatum22BOS,26.4,7.4,4.3,1.2,0.5
Dwight Howard23ORL,20.6,13.8,1.4,1,2.9
Anthony Davis28LAL,23.2,9.9,3.1,1.2,2.3
Carmelo Anthony25DEN,28.2,6.6,3.2,1.3,0.4
Blake Griffin21LAC,22.5,12.1,3.8,0.8,0.5
World B. Free26SDC,30.2,3.5,4.2,1.2,0.5
Alex English31DEN,27.9,5.7,4.2,1.2,0.6
Grant Hill27DET,25.8,6.6,5.2,1.4,0.6
Vince Carter24TOR,27.6,5.5,3.9,1.5,1.1
Trae Young22ATL,25.3,3.9,9.4,0.8,0.2
Charles Barkley30PHO,21.6,11.2,4.6,1.6,0.6
Alonzo Mourning25MIA,23.2,10.4,2.3,1,2.7
Kyrie Irving29BRK,27.4,4.4,5.8,1.4,0.6
Chris Paul22NOH,21.1,4,11.6,2.7,0.1
Paul George31LAC,24.3,6.9,5.7,2.2,0.4
Magic Johnson28LAL,19.6,6.2,11.9,1.6,0.2
Carmelo Anthony28NYK,28.7,6.9,2.6,0.8,0.5
Joel Embiid23PHI,22.9,11,3.2,0.6,1.8
Damian Lillard27POR,26.9,4.5,6.6,1.1,0.4
Stephen Curry30GSW,27.3,5.3,5.2,1.3,0.4
Terry Cummings21SDC,23.7,10.6,2.5,1.8,0.9
Stephen Curry29GSW,26.4,5.1,6.1,1.6,0.2
Zion Williamson20NOP,27,7.2,3.7,0.9,0.6
Tim Hardaway25GSW,23.4,3.8,10,2,0.2
Allen Iverson28PHI,26.4,3.7,6.8,2.4,0.1
Kobe Bryant33LAL,27.9,5.4,4.6,1.2,0.3
Adrian Dantley30UTA,29.8,5.2,3.5,0.8,0.1
Patrick Ewing26NYK,22.7,9.3,2.4,1.5,3.5
Kawhi Leonard27TOR,26.6,7.3,3.3,1.8,0.4
Kevin Durant22OKC,27.7,6.8,2.7,1.1,1
Blake Griffin24LAC,24.1,9.5,3.9,1.2,0.6
Alex English30DEN,26.4,5.7,5,1,1.2
Isiah Thomas22DET,21.3,4,11.1,2.5,0.4
Tim Hardaway24GSW,22.9,4,9.7,2.6,0.1
Dominique Wilkins25ATL,27.4,6.9,2.5,1.7,0.7
Charles Barkley33HOU,19.2,13.5,4.7,1.3,0.5
Karl Malone35UTA,23.8,9.4,4.1,1.3,0.6
Dwight Howard22ORL,20.7,14.2,1.3,0.9,2.1
Kobe Bryant31LAL,27,5.4,5,1.5,0.3
DeMar DeRozan32CHI,27.9,5.2,4.9,0.9,0.3
Ron Harper26CLE,22,6.9,7,2,1.3
Bernard King34WSB,28.4,5,4.6,0.9,0.3
Magic Johnson26LAL,18.8,5.9,12.6,1.6,0.2
Allen Iverson24PHI,28.4,3.8,4.7,2.1,0.1
Paul Pierce24BOS,26.1,6.9,3.2,1.9,1
Amar'e Stoudemire22PHO,26,8.9,1.6,1,1.6
Shawn Marion27PHO,21.8,11.8,1.8,2,1.7
Dwyane Wade29MIA,25.5,6.4,4.6,1.5,1.1
Andre Drummond26TOT,17.7,15.2,2.7,1.9,1.6
Alex English33DEN,28.6,4.2,5.1,0.9,0.3
Moses Malone31WSB,24.1,11.3,1.6,0.8,1.3
Hakeem Olajuwon34HOU,23.2,9.2,3,1.5,2.2
Kareem Abdul-Jabbar34LAL,23.9,8.7,3,0.8,2.7
Kevin Johnson23PHO,22.5,3.6,11.4,1.3,0.2
Kevin Garnett22MIN,20.8,10.4,4.3,1.7,1.8
Damian Lillard26POR,27,4.9,5.9,0.9,0.3
Tim Duncan21SAS,21.1,11.9,2.7,0.7,2.5
Shaquille O'Neal31LAL,21.5,11.5,2.9,0.5,2.5
Kobe Bryant30LAL,26.8,5.2,4.9,1.5,0.5
Kevin Love22MIN,20.2,15.2,2.5,0.6,0.4
Amar'e Stoudemire28NYK,25.3,8.2,2.6,0.9,1.9
Julius Erving31PHI,24.4,6.9,3.9,2,1.7
Magic Johnson25LAL,18.3,6.2,12.6,1.5,0.3
Tim Duncan22SAS,21.7,11.4,2.4,0.9,2.5
James Harden23HOU,25.9,4.9,5.8,1.8,0.5
Dwyane Wade23MIA,24.1,5.2,6.8,1.6,1.1
Tom Chambers29PHO,25.7,8.4,2.9,1.1,0.7
Clyde Drexler27POR,23.3,6.9,5.9,2,0.7
Shaquille O'Neal32MIA,22.9,10.4,2.7,0.5,2.3
Yao Ming26HOU,25,9.4,2,0.4,2
Chris Bosh25TOR,24,10.8,2.4,0.6,1
LaMarcus Aldridge28POR,23.2,11.1,2.6,0.9,1
Damian Lillard28POR,25.8,4.6,6.9,1.1,0.4
Elvin Hayes34WSB,23,11.1,1.6,0.8,2.3
Mychal Thompson27POR,20.8,11.7,4,0.9,1.4
Kevin Johnson22PHO,20.4,4.2,12.2,1.7,0.3
Grant Hill23DET,20.2,9.8,6.9,1.3,0.6
Chris Webber31SAC,21.3,9.7,5.5,1.5,0.7
Magic Johnson23LAL,16.8,8.6,10.5,2.2,0.6
Moses Malone30PHI,23.8,11.8,1.2,0.9,1
Scottie Pippen26CHI,21,7.7,7,1.9,1.1
Scottie Pippen29CHI,21.4,8.1,5.2,2.9,1.1
Allen Iverson23PHI,26.8,4.9,4.6,2.3,0.1
Amar'e Stoudemire25PHO,25.2,9.1,1.5,0.8,2.1
Nikola Vu?evi?28ORL,20.8,12,3.8,1,1.1
Stephen Curry33GSW,25.5,5.2,6.3,1.3,0.4
Fat Lever26DEN,18.9,8.9,8,2.5,0.4
Chris Webber22WSB,23.7,7.6,5,1.8,0.6
Allen Iverson31TOT,26.3,3,7.2,1.9,0.2
Allen Iverson32DEN,26.4,3,7.1,2,0.1
Stephen Curry25GSW,24,4.3,8.5,1.6,0.2
Isaiah Thomas27BOS,28.9,2.7,5.9,0.9,0.2
Devin Booker22PHO,26.6,4.1,6.8,0.9,0.2
Kiki Vandeweghe25DEN,29.4,4.8,3.1,0.7,0.6
Chris Webber23WSB,20.1,10.3,4.6,1.7,1.9
Zach LaVine25CHI,27.4,5,4.9,0.8,0.5
Nikola Vu?evi?30CHI,21.5,11.5,3.9,0.9,0.8
Larry Bird23BOS,21.3,10.4,4.5,1.7,0.6
Blake Griffin29DET,24.5,7.5,5.4,0.7,0.4
Kawhi Leonard29LAC,24.8,6.5,5.2,1.6,0.4
Pascal Siakam27TOR,22.8,8.5,5.3,1.3,0.6
Patrick Ewing33NYK,22.5,10.6,2.1,0.9,2.4
Chris Webber24WAS,21.9,9.5,3.8,1.6,1.7
Derrick Rose22CHI,25,4.1,7.7,1,0.6
Derrick Coleman25NJN,20.7,11.2,3.6,1.2,1.7
David Robinson32SAS,21.6,10.6,2.7,0.9,2.6
Dirk Nowitzki28DAL,24.6,8.9,3.4,0.7,0.8
Stephen Curry28GSW,25.3,4.5,6.6,1.8,0.2
Nikola Joki?24DEN,19.9,9.7,7,1.2,0.6
Patrick Ewing34NYK,22.4,10.7,2,0.9,2.4
Bradley Beal25WAS,25.6,5,5.5,1.5,0.7
Carmelo Anthony23DEN,25.7,7.4,3.4,1.3,0.5
Devin Booker23PHO,26.6,4.2,6.5,0.7,0.3
Joe Barry Carroll24GSW,24.1,8.7,2.1,1.4,2
Clyde Drexler24POR,21.7,6.3,6.9,2.5,0.9
Antoine Walker21BOS,22.4,10.2,3.3,1.7,0.7
Dirk Nowitzki30DAL,25.9,8.4,2.4,0.8,0.8
Tracy McGrady27HOU,24.6,5.3,6.5,1.3,0.5
Al Jefferson24MIN,23.1,11,1.6,0.8,1.7
Ralph Sampson24HOU,22.1,10.4,2.7,1,2
Tom Chambers30PHO,27.2,7,2.3,1.1,0.6
James Harden24HOU,25.4,4.7,6.1,1.6,0.4
Karl-Anthony Towns22MIN,21.3,12.3,2.4,0.8,1.4
Domantas Sabonis25SAC,18.9,12.3,5.8,0.9,0.3
Jack Sikma26SEA,19.6,12.7,3.4,1.2,1.3
Larry Bird35BOS,20.2,9.6,6.8,0.9,0.7
Dwyane Wade26MIA,24.6,4.2,6.9,1.7,0.7
Kobe Bryant23LAL,25.2,5.5,5.5,1.5,0.4
Devin Booker25PHO,26.8,5,4.8,1.1,0.4
Tim Hardaway26GSW,21.5,4,10.6,1.8,0.2
Grant Hill25DET,21.1,7.7,6.8,1.8,0.7
Stephen Curry26GSW,23.8,4.3,7.7,2,0.2
Kevin Johnson24PHO,22.2,3.5,10.1,2.1,0.1
Chris Mullin27GSW,25.7,5.4,4,2.1,0.8
Antoine Walker25BOS,22.1,8.8,5,1.5,0.5
Larry Nance27PHO,22.5,8.7,3.4,1.2,2.1
Dominique Wilkins29ATL,26.2,6.9,2.6,1.5,0.7
Dominique Wilkins30ATL,26.7,6.5,2.5,1.6,0.6
Karl Malone37UTA,23.2,8.3,4.5,1.1,0.8
Karl Malone38UTA,22.4,8.6,4.3,1.9,0.7
Kevin Durant26OKC,25.4,6.6,4.1,0.9,0.9
Jimmy Butler31MIA,21.5,6.9,7.1,2.1,0.3
De'Aaron Fox23SAC,25.2,3.5,7.2,1.5,0.5
Alex English27DEN,23.8,8,3.6,1.3,1.2
Terry Cummings23MIL,23.6,9.1,2.9,1.5,0.8
Purvis Short27GSW,28,5.1,3,1.5,0.3
Larry Bird34BOS,19.4,8.5,7.2,1.8,1
Tracy McGrady26HOU,24.4,6.5,4.8,1.3,0.9
Russell Westbrook24OKC,23.2,5.2,7.4,1.8,0.3
Jimmy Butler27CHI,23.9,6.2,5.5,1.9,0.4
Gary Payton33SEA,22.1,4.8,9,1.6,0.3
Hakeem Olajuwon22HOU,20.6,11.9,1.4,1.2,2.7
Vince Carter23TOR,25.7,5.8,3.9,1.3,1.1
Dirk Nowitzki23DAL,23.4,9.9,2.4,1.1,1
Isiah Thomas24DET,20.9,3.6,10.8,2.2,0.3
Sleepy Floyd27GSW,21.2,5.1,9.9,1.5,0.1
Fat Lever27DEN,18.9,8.1,7.8,2.7,0.3
